TaxonName	pS	Body_mass_g_variance	Brain_mass_g_variance
Cebus_albifrons	0.00179481	0.0039719184308519145	0.01013129324062608
Cercopithecus_neglectus	0.00173266	0.012953535157658118	0.000835110745647634
Lemur_catta	0.00341765	0.08136560166066918	0.003656545746430232
Pithecia_pithecia	0.00164099	0.02610557472785257	0.0009570363070421279
Ateles_geoffroyi	0.00367714	0.17773536138863955	0.008684227421768734
Nycticebus_coucang	0.00211337	0.09317567797865976	0.00839174852638014
Loxodonta_africana	0.00245532	0.22453913393208375	0.003821374288740761
Delphinapterus_leucas	0.00090743	0.2164669163580316	0.0013555373163887338
Rangifer_tarandus	0.00280678	0.24762458546664717	0.0005106258258763748
Papio_anubis	0.00266748	0.1099319126867823	0.005399678426027928
Macaca_fascicularis	0.00434966	0.03856927113480737	0.01153547226893707
Pan_troglodytes	0.00036651	0.026851435225078137	0.01899142913347289
Nasalis_larvatus	0.00127063	0.014527716397495487	0.003458222666025648
Macaca_mulatta	0.00554396	0.06183678469606076	0.008360351275837464
Gorilla_gorilla	0.00529792	0.01700236652781311	0.005269775360801744
Colobus_angolensis	0.00174004	0.03590627751254568	0.008867659237731465
Chlorocebus_sabaeus	0.00255982	0.017910529722429812	0.0003368930138214946
Pongo_abelii	0.0032076	0.050791691674342686	0.004401764012570502
Tursiops_truncatus	0.00124103	0.131405292864767	0.010768928953004762
Cebus_capucinus	0.00164428	0.0721566037035547	0.006267099507183533
Onychomys_torridus	0.00264422	0.044239883105785964	0.0024669864747887565
Eulemur_fulvus	0.00668578	0.0006037735931588524	0.004099066108504683
Erythrocebus_patas	0.00205865	0.00014171833491630697	0.0037727441216591114
