TaxonName	Body_mass_g_mean	Brain_Volume_ml_mean	Brain_mass_g_mean	Ratio_of_brain_mass_to_body_mass_mean
Choloepus_hoffmanni	8.569975376855206	NaN	3.258096538021482	-5.311878838833724
Alouatta_palliata	8.79249763820574	3.9740583963475986	3.9899095440852173	-4.8014244492161335
Callithrix_jacchus	5.697093486505405	NaN	2.1400661634962708	-3.557027323009134
Saimiri_boliviensis	6.620073206530356	NaN	3.1822118404966093	-3.4378613660337467
Colobus_angolensis	8.959255276807845	4.2092454303840645	NaN	NaN
Trachypithecus_francoisi	9.116029692504942	NaN	4.462453883786496	-4.653575808718445
Papio_anubis	9.49820902426658	4.994937576309665	5.011244288967506	-4.309983375551806
Theropithecus_gelada	9.359761966142505	4.837999268526481	4.867534450455582	-4.082739016101793
Cercocebus_atys	8.063062911326792	NaN	4.653960350157523	-3.4091025611692687
Macaca_nemestrina	8.67464632081431	4.615202387956227	4.634728988229636	-3.1002672057931453
Gorilla_gorilla	11.384514483937616	6.056784013228625	5.974674484436697	-5.4328904648757055
Pan_troglodytes	10.550899336536517	5.868554463926954	5.779753246386213	-4.834088042260559
Pongo_abelii	10.600820384693796	5.8202688015451685	NaN	NaN
Cheirogaleus_medius	5.198497031265826	NaN	1.2809338454620642	-3.917563185803761
Lemur_catta	7.524252458180733	2.970414465569701	3.112364544125341	-4.317333190473501
Hystrix_cristata	8.46863300080086	NaN	3.186352633162641	-5.2822803676382195
Cynomys_gunnisoni	6.1531581361059695	1.6094379124341003	NaN	NaN
Ictidomys_tridecemlineatus	4.9614450499054845	0.8197798314933114	NaN	NaN
Urocitellus_parryii	6.232239410243397	1.634921254719673	1.747459210331475	-5.117388567639385
Spermophilus_dauricus	5.4107527958778245	1.0043016091968684	NaN	NaN
Marmota_himalayana	8.795960646478445	2.7819200496686656	NaN	NaN
Hippopotamus_amphibius	14.116355616942336	NaN	6.579251212010101	-7.537104404932235
Lagenorhynchus_obliquidens	11.27720313144916	NaN	6.983789965258135	-4.293413166191024
Tursiops_truncatus	11.410024985078275	NaN	7.256426283461354	-4.1535987016169225
Delphinapterus_leucas	13.065689434658665	NaN	7.560262316713405	-5.505427117945262
Odocoileus_virginianus	10.878734351286202	4.923011840141901	5.285761759524983	-5.577012021142014
Rangifer_tarandus	11.532115736470963	5.560296941647445	5.627621113690637	-5.552624912897075
Hydropotes_inermis	9.840600999480937	3.845883202923601	NaN	NaN
Muntiacus_reevesi	9.536762272743895	3.960813169597578	NaN	NaN
Ammotragus_lervia	10.945529489715843	NaN	5.344723739362192	-5.6008057503536515
Syncerus_caffer	13.2566844581431	NaN	6.464588303689961	-6.792096154453139
Eumetopias_jubatus	12.569152037141901	6.354370040797351	NaN	NaN
Zalophus_californianus	11.418614785498987	6.003887067106539	NaN	NaN
Odobenus_rosmarus	13.606639665936783	7.200797957676014	NaN	NaN
Halichoerus_grypus	11.951180395901384	5.607638614103299	NaN	NaN
Mirounga_leonina	13.128345449081877	6.799613120362434	NaN	NaN
Neovison_vison	5.581853351717765	2.0650988697102894	NaN	NaN
Vulpes_vulpes	8.439231649946526	NaN	3.975936331171799	-4.463295318774727
Panthera_tigris	11.982929094215963	NaN	5.41610040220442	-6.566828692011544
Loxodonta_africana	14.734634567193673	NaN	8.350183567586164	-6.384450999607507
Procavia_capensis	7.729735331385051	NaN	2.9652730660692823	-4.764462265315768
