TaxonName	Body_mass_g_mean	Brain_Volume_ml_mean	Brain_mass_g_mean	Ratio_of_brain_mass_to_body_mass_mean
Choloepus_hoffmanni	5271.0	NaN	26.0	0.0049326503509770445
Alouatta_palliata	6584.666666666667	53.2	54.05	0.008218032537631138
Callithrix_jacchus	298.0	NaN	8.5	0.028523489932885907
Saimiri_boliviensis	750.0	NaN	24.1	0.03213333333333333
Colobus_angolensis	7849.5	67.455	NaN	NaN
Trachypithecus_francoisi	9100.0	NaN	86.7	0.009527472527472528
Papio_anubis	13726.875	148.045	150.16666666666666	0.014488792078644086
Theropithecus_gelada	13363.75	126.57142857142857	130.0	0.016861219195849545
Cercocebus_atys	3175.0	NaN	105.0	0.03307086614173228
Macaca_nemestrina	6113.9400000000005	101.29333333333334	103.0	0.04503716659379099
Gorilla_gorilla	88105.5	427.0	395.03142857142853	0.004389238095238095
Pan_troglodytes	38678.58823529412	354.9425	326.84444444444443	0.008035120271024324
Pongo_abelii	41148.0	337.6928571428571	NaN	NaN
Cheirogaleus_medius	181.0	NaN	3.6	0.01988950276243094
Lemur_catta	1906.5	19.5	22.483333333333334	0.01374665596575709
Hystrix_cristata	4763.0	NaN	24.2	0.005080831408775981
Cynomys_gunnisoni	470.2	5.0	NaN	NaN
Ictidomys_tridecemlineatus	142.8	2.27	NaN	NaN
Urocitellus_parryii	527.832	5.1904545454545445	5.739999999999999	0.005991649269311065
Spermophilus_dauricus	223.8	2.73	NaN	NaN
Marmota_himalayana	6607.5	16.15	NaN	NaN
Hippopotamus_amphibius	1351000.0	NaN	720.0	0.000532938564026647
Lagenorhynchus_obliquidens	79000.0	NaN	1079.0	0.013658227848101267
Tursiops_truncatus	94000.0	NaN	1422.3333333333333	0.016472875816993467
Delphinapterus_leucas	498250.0	NaN	1921.0	0.004323510371399131
Odocoileus_virginianus	54959.0	138.35	198.23333333333335	0.0038857584934404743
Rangifer_tarandus	108313.5	259.9	278.0	0.003877266387726639
Hydropotes_inermis	18781.0	46.8	NaN	NaN
Muntiacus_reevesi	13860.0	52.5	NaN	NaN
Ammotragus_lervia	56700.0	NaN	209.5	0.003694885361552028
Syncerus_caffer	571880.0	NaN	642.0	0.001122613135622858
Eumetopias_jubatus	287550.0	575.0	NaN	NaN
Zalophus_californianus	91000.0	405.0	NaN	NaN
Odobenus_rosmarus	811500.0	1340.5	NaN	NaN
Halichoerus_grypus	155000.0	272.5	NaN	NaN
Mirounga_leonina	503000.0	897.5	NaN	NaN
Neovison_vison	266.8333333333333	7.900333333333333	NaN	NaN
Vulpes_vulpes	4625.0	NaN	53.3	0.011524324324324323
Panthera_tigris	160000.0	NaN	225.0	0.00140625
Loxodonta_africana	2649150.0	NaN	4235.0	0.0017597309624435796
Procavia_capensis	2275.0	NaN	19.4	0.008527472527472527
